No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
112,bmg2024axnu,2024-01-13T21:05:07.894176Z,-4.310992241,121.825676,2.116934783,MLv,11,12,150.9116516,"Sulawesi, Indonesia",BMKG
113,bmg2024axfl,2024-01-13T16:52:59.283689Z,1.043350577,119.879097,2.964503377,MLv,10,34,165.6639099,Celebes Sea,BMKG
114,bmg2024axdx,2024-01-13T16:05:41.820101Z,-1.918740034,122.5437088,3.457082349,MLv,10,81,69.94276428,"Sulawesi, Indonesia",BMKG
115,bmg2024axdk,2024-01-13T15:51:13.715205Z,-1.918727994,122.5344086,3.029349251,MLv,10,38,130.8658066,"Sulawesi, Indonesia",BMKG
116,bmg2024axbd,2024-01-13T14:41:38.938644Z,-0.07738755643,123.1251602,2.701140893,MLv,117,31,98.15911484,"Minahassa Peninsula, Sulawesi",BMKG
117,bmg2024awer,2024-01-13T03:20:39.49529Z,-2.758819818,120.8204727,2.60233077,MLv,10,11,174.7693787,"Sulawesi, Indonesia",BMKG
118,bmg2024awcv,2024-01-13T02:24:58.663232Z,-2.387804031,120.9578857,4.240234688,MLv,2,71,45.20233154,"Sulawesi, Indonesia",BMKG
119,bmg2024avjg,2024-01-12T16:32:12.577242Z,2.015787363,121.9133987,3.344768186,MLv,20,16,253.1360855,Celebes Sea,BMKG
120,bmg2024avjd,2024-01-12T16:28:03.160903Z,2.054706812,122.0273132,3.574179305,MLv,11,22,211.9439545,Celebes Sea,BMKG
121,bmg2024avfp,2024-01-12T14:40:49.178592Z,-2.914448977,119.4173508,2.37190307,MLv,5,13,81.76274681,"Sulawesi, Indonesia",BMKG
122,bmg2024avfn,2024-01-12T14:38:35.180741Z,0.1838039905,123.5634766,2.753875794,MLv,91,10,145.6053391,"Minahassa Peninsula, Sulawesi",BMKG
123,bmg2024aund,2024-01-12T05:21:08.544472Z,1.130655527,123.1142654,1.968628207,MLv,86,4,284.11409,"Minahassa Peninsula, Sulawesi",BMKG
124,bmg2024atdm,2024-01-11T11:20:52.060777Z,-1.342071176,120.3728409,3.007160747,MLv,10,59,45.69190979,"Sulawesi, Indonesia",BMKG
125,bmg2024aswb,2024-01-11T07:35:43.982271Z,-1.180798054,121.2140503,3.359004703,MLv,10,74,54.09611511,"Sulawesi, Indonesia",BMKG
126,bmg2024asou,2024-01-11T03:54:54.634713Z,0.4027237892,122.4512634,2.167461419,MLv,19,14,100.361618,"Minahassa Peninsula, Sulawesi",BMKG
127,bmg2024ascq,2024-01-10T21:47:06.302819Z,-2.465253592,121.1748199,2.751340353,MLv,10,28,66.80010223,"Sulawesi, Indonesia",BMKG
128,bmg2024asaq,2024-01-10T20:45:39.319727Z,-0.7649334073,122.2349625,2.647906694,M,10,16,83.6978302,"Minahassa Peninsula, Sulawesi",BMKG
129,bmg2024arwq,2024-01-10T18:43:56.160352Z,-4.43362093,120.126564,1.748859387,MLv,21,12,141.9192219,"Sulawesi, Indonesia",BMKG
130,bmg2024arpk,2024-01-10T15:05:50.660432Z,0.490370959,122.1913605,2.734016838,MLv,99,31,85.73805237,"Minahassa Peninsula, Sulawesi",BMKG
131,bmg2024arpj,2024-01-10T15:04:23.334127Z,-1.244795442,120.2341537,2.451000475,MLv,10,27,58.66407776,"Sulawesi, Indonesia",BMKG
132,bmg2024aqbu,2024-01-09T19:05:00.715586Z,0.9045253992,123.8600693,3.715961273,MLv,282,33,126.4626236,"Minahassa Peninsula, Sulawesi",BMKG
133,bmg2024aqai,2024-01-09T18:19:59.146388Z,-0.2158780098,122.9088745,2.744944041,MLv,29,21,81.65114975,"Minahassa Peninsula, Sulawesi",BMKG
134,bmg2024apyp,2024-01-09T17:27:31.58476Z,-4.718080044,122.9906158,2.040799567,MLv,12,8,124.5325089,"Sulawesi, Indonesia",BMKG
135,bmg2024apym,2024-01-09T17:24:09.367422Z,0.329693675,121.5284729,2.642320124,MLv,158,35,58.36752319,"Minahassa Peninsula, Sulawesi",BMKG
136,bmg2024apyi,2024-01-09T17:19:33.183372Z,-1.359459639,120.3129501,2.21211602,MLv,21,13,85.47663879,"Sulawesi, Indonesia",BMKG
137,bmg2024apwl,2024-01-09T16:22:41.298292Z,-4.143464088,122.6363602,2.391863054,MLv,10,15,84.33709717,"Sulawesi, Indonesia",BMKG
138,bmg2024aowf,2024-01-09T03:07:39.758965Z,-0.2841483355,122.9743881,2.882350262,MLv,36,22,86.46276855,"Minahassa Peninsula, Sulawesi",BMKG
139,bmg2024aosp,2024-01-09T01:18:07.339977Z,-2.32328558,119.1888351,3.368854271,MLv,10,46,155.2844687,"Sulawesi, Indonesia",BMKG
140,bmg2024aonb,2024-01-08T22:29:41.105137Z,-0.4212959707,122.9712601,2.933063924,MLv,56,15,82.30541611,"Minahassa Peninsula, Sulawesi",BMKG
141,bmg2024aomf,2024-01-08T22:04:58.125236Z,-4.495089054,123.0072327,2.868403435,M,10,13,121.5926514,Banda Sea,BMKG
142,bmg2024aolr,2024-01-08T21:48:23.240834Z,0.2018095404,122.4158249,2.849244318,M,147,30,54.14657593,"Minahassa Peninsula, Sulawesi",BMKG
143,bmg2024aohd,2024-01-08T19:29:07.585174Z,0.2109436542,122.076416,2.822819225,M,194,35,47.70205879,"Minahassa Peninsula, Sulawesi",BMKG
144,bmg2024aogn,2024-01-08T19:11:23.525171Z,0.5713703632,125.2310791,2.730708822,MLv,26,17,135.7212524,Northern Molucca Sea,BMKG
